Timestamp,Bid Ask Ratio
2024-10-28 12:55:00,0.5
2024-10-28 13:05:02,0.45
2024-10-28 13:15:04,0.44
2024-10-28 13:25:07,0.42
2024-10-28 13:35:09,0.35
2024-10-28 13:45:10,0.35
2024-10-28 13:55:12,0.31
2024-10-28 14:05:15,0.31
2024-10-28 14:15:17,0.33
2024-10-28 14:25:19,0.25
2024-10-28 14:35:21,0.26
2024-10-28 14:45:23,0.19
2024-10-28 14:55:26,0.26
2024-10-28 15:05:28,0.47
2024-10-28 15:15:29,0.36
2024-10-28 15:25:31,0.41
2024-10-28 15:35:33,0.37
2024-10-28 15:45:35,0.4
2024-10-28 15:55:37,0.41
2024-10-28 16:05:39,0.55
2024-10-28 16:15:41,0.66
2024-10-28 16:25:43,0.68
2024-10-28 16:35:45,0.79
2024-10-28 16:45:47,0.89
2024-10-28 16:55:49,0.69
2024-10-28 17:05:50,0.98
2024-10-28 17:15:52,0.99
2024-10-28 17:25:54,0.5
2024-10-28 17:35:56,0.4
2024-10-28 17:45:58,0.36
2024-10-28 17:56:01,0.43
2024-10-28 18:06:02,0.65
2024-10-28 18:16:04,0.53
2024-10-28 18:26:06,0.49
2024-10-28 18:36:08,0.34
2024-10-28 18:46:10,0.31
2024-10-28 18:56:12,0.3
2024-10-28 19:06:14,0.27
2024-10-28 19:16:16,0.3
2024-10-28 19:26:18,0.47
2024-10-28 19:36:20,0.43
2024-10-28 19:46:22,0.4
2024-10-28 19:56:24,0.36
2024-10-28 20:06:25,0.35
2024-10-28 20:16:27,0.11
2024-10-28 20:26:29,0.13
2024-10-28 20:36:31,0.14
2024-10-28 20:46:33,0.14
2024-10-28 20:56:35,0.13
2024-10-28 21:06:37,0.14
2024-10-28 21:16:39,0.17
2024-10-28 21:26:41,0.13
2024-10-28 21:36:43,0.13
2024-10-28 21:46:44,0.14
2024-10-28 21:56:46,0.15
2024-10-28 22:06:48,0.14
2024-10-28 22:16:50,0.13
2024-10-28 22:26:52,0.11
2024-10-28 22:36:55,0.13
2024-10-28 22:46:56,0.12
2024-10-28 22:56:58,0.15
2024-10-28 23:07:00,0.15
2024-10-28 23:17:03,0.45
2024-10-28 23:27:05,0.45
2024-10-28 23:37:07,0.66
2024-10-28 23:47:09,0.65
2024-10-28 23:57:10,0.64
